,countincomments,countinposts,firstday,lastday
92,246499,39253,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00
93,263915,41565,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00
94,263878,39973,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00
95,272279,38547,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00
96,297895,40805,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00
97,303281,39988,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00
98,377567,46779,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
99,383910,48687,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00
100,410456,52604,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00
101,389714,47467,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00
102,409779,50557,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00
103,398507,51488,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00
104,330092,46347,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00
105,368984,50493,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00
106,311140,45978,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00
107,346645,50798,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00
108,319596,54071,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00
109,268488,43020,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00
